time	V(vout)
Step Information: Run=1  (Step: 1/250)
1.142335205883622e+00	3.290165e+00
1.142336010941927e+00	3.290623e+00
1.142337433824211e+00	3.290980e+00
1.142340272002218e+00	3.291241e+00
1.142345948358234e+00	3.291384e+00
1.142357301070264e+00	3.291436e+00
1.142380006494325e+00	3.291450e+00
1.142425417342448e+00	3.291436e+00
1.142516239038692e+00	3.291434e+00
1.142697882431181e+00	3.291436e+00
1.143061169216159e+00	3.291434e+00
1.143787742786115e+00	3.291436e+00
1.145240889926028e+00	3.291435e+00
1.148147184205852e+00	3.291436e+00
1.152053434205852e+00	3.291435e+00
1.155959684205852e+00	3.291437e+00
1.159865934205852e+00	3.291436e+00
1.163772184205852e+00	3.291438e+00
1.167678434205852e+00	3.291437e+00
1.171584684205852e+00	3.291439e+00
1.175490934205852e+00	3.291438e+00
1.179397184205852e+00	3.291440e+00
1.183303434205852e+00	3.291439e+00
1.187209684205852e+00	3.291441e+00
1.191115934205852e+00	3.291440e+00
1.195022184205852e+00	3.291442e+00
1.198928434205852e+00	3.291441e+00
1.202834684205852e+00	3.291442e+00
1.206740934205852e+00	3.291441e+00
1.210647184205852e+00	3.291443e+00
1.214553434205852e+00	3.291442e+00
1.218459684205852e+00	3.291444e+00
1.222365934205852e+00	3.291443e+00
1.226272184205852e+00	3.291445e+00
1.230178434205852e+00	3.291444e+00
1.234084684205852e+00	3.291446e+00
1.237990934205852e+00	3.291445e+00
1.241897184205852e+00	3.291446e+00
1.245803434205852e+00	3.291445e+00
1.249709684205852e+00	3.291447e+00
1.253615934205852e+00	3.291446e+00
1.257522184205852e+00	3.291448e+00
1.261428434205852e+00	3.291447e+00
1.265334684205852e+00	3.291449e+00
1.269240934205852e+00	3.291448e+00
1.273147184205852e+00	3.291450e+00
1.277053434205852e+00	3.291448e+00
1.280959684205852e+00	3.291450e+00
1.284865934205852e+00	3.291449e+00
1.288772184205852e+00	3.291451e+00
1.292678434205852e+00	3.291450e+00
1.296584684205852e+00	3.291451e+00
1.300490934205852e+00	3.291451e+00
1.304397184205852e+00	3.291452e+00
1.308303434205852e+00	3.291451e+00
1.312209684205852e+00	3.291453e+00
1.316115934205852e+00	3.291452e+00
1.320022184205852e+00	3.291454e+00
1.323928434205852e+00	3.291452e+00
1.327834684205852e+00	3.291454e+00
1.331740934205852e+00	3.291453e+00
1.335647184205852e+00	3.291455e+00
1.339553434205852e+00	3.291454e+00
1.343459684205852e+00	3.291456e+00
1.347365934205852e+00	3.291454e+00
1.351272184205852e+00	3.291456e+00
1.355178434205852e+00	3.291455e+00
1.359084684205852e+00	3.291457e+00
1.362990934205852e+00	3.291456e+00
1.366897184205852e+00	3.291457e+00
